date,state,unemployment_rate,percent_error
2021-10-01,Hawaii,5.116976144926372,0.2
2021-10-01,Idaho,4.040262013306958,0.2
2021-10-01,Illinois,6.185380271467706,0.1
2021-10-01,Indiana,4.708270021505156,0.1
2021-10-01,Iowa,3.917029192893361,0.2
2021-10-01,Kansas,4.106767539698624,0.1
2021-10-01,Kentucky,5.318804592033547,0.1
2021-10-01,Louisiana,6.782741620817885,0.2
2021-10-01,Maine,4.171720019673488,0.2
2021-10-01,Maryland,5.300933246983909,0.1
2021-10-01,Massachusetts,5.374719121136897,0.1
2021-10-01,Michigan,6.183753361761291,0.1
2021-10-01,Minnesota,3.979236337315842,0.1
2021-10-01,Mississippi,6.853167281825231,0.2
2021-10-01,Missouri,4.506794905065811,0.1
2021-10-01,Montana,4.136828404986996,0.2
2021-10-01,Nebraska,3.3321267401650507,0.1
2021-10-01,Nevada,7.045196781696157,0.2
2021-10-01,New Hampshire,3.822452831214311,0.2
2021-10-01,New Jersey,6.152611491294158,0.1
2021-10-01,New Mexico,6.614649614481051,0.3
2021-10-01,New York,6.128370229691018,0.1
2021-10-01,North Carolina,5.321208654711309,0.1
2021-10-01,North Dakota,3.2100722776128054,0.2
2021-10-01,Ohio,5.315685426647007,0.1
2021-10-01,Oklahoma,5.022643412779535,0.1
2021-10-01,Oregon,5.59135504211365,0.1
2021-10-01,Pennsylvania,5.496731593543591,0.1
2021-10-01,Puerto Rico,14.689560753144674,0.4
2021-10-01,Rhode Island,5.929935570508321,0.3
2021-10-01,South Carolina,5.328695272019245,0.2
2021-10-01,South Dakota,3.2625030789543854,0.2
2021-10-01,Tennessee,5.317412657335691,0.1
2021-10-01,Texas,5.403915302013707,0.1
2021-10-01,Utah,3.5240726789069328,0.1
2021-10-01,Vermont,3.903765127772833,0.2
2021-10-01,Virginia,4.61124099321704,0.1
2021-10-01,Washington,5.06528624668709,0.1
2021-10-01,West Virginia,6.42927945695526,0.2
2021-10-01,Wisconsin,3.5248173493684543,0.1
2021-10-01,Wyoming,4.242988448322031,0.3
2021-11-01,Alabama,5.416694977825614,0.1
2021-11-01,Alaska,6.936693254671811,0.3
2021-11-01,Arizona,5.621987697035233,0.1
2021-11-01,Arkansas,5.300101074721828,0.2
2021-11-01,California,6.482346989046754,0.1
2021-11-01,Colorado,4.612843093131752,0.1
2021-11-01,Connecticut,6.098359382432223,0.2
2021-11-01,Delaware,5.725448375473194,0.3
2021-11-01,District of Columbia,7.108460469915035,0.4
2021-11-01,Florida,5.313022666147477,0.1
2021-11-01,Georgia,5.515335403445724,0.1
2021-11-01,Hawaii,5.160579681952478,0.2
2021-11-01,Idaho,4.02020524251034,0.2
2021-11-01,Illinois,6.193981908483706,0.1
2021-11-01,Indiana,4.704769253046482,0.1
2021-11-01,Iowa,3.9089698695451407,0.2
2021-11-01,Kansas,4.103729096663543,0.1
2021-11-01,Kentucky,5.309698019820307,0.1
2021-11-01,Louisiana,6.792634311901833,0.2
2021-11-01,Maine,4.187005422745944,0.2
2021-11-01,Maryland,5.301473646376306,0.1
2021-11-01,Massachusetts,5.388715678136185,0.1
